__module_id__,Module_name,Biogeochemical_cycle,Relation_to_iron,Table_S8_biomarker_KOs,Reason_for_inclusion,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,1 block missing,Complete,1 block missing,1 block missing,Complete,1 block missing,Complete,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00530,"Dissimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K00362; K00363; K00370; K00371; K02567; K03385; K15876,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete
M00531,"Assimilatory nitrate reduction, nitrate -> ammonia",Nitrogen,No direct iron relation assigned,K00360; K00366; K00367; K00372; K10534; K17877,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,1 block missing,1 block missing,Complete,Complete,Incomplete,Complete,Incomplete,Complete,1 block missing,Incomplete,Complete,1 block missing,1 block missing,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,1 block missing
M00165,Reductive pentose phosphate cycle (Calvin cycle),Carbon,No direct iron relation assigned,K00855; K01601; K01602,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,1 block missing,1 block missing,Complete,1 block missing,1 block missing,Complete,Complete,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00166,"Reductive pentose phosphate cycle, ribulose-5P -> glyceraldehyde-3P",Carbon,No direct iron relation assigned,K00855; K01601; K01602,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
M00422,"Acetyl-CoA pathway, CO2 -> acetyl-CoA",Carbon,No direct iron relation assigned,K00192; K00193; K00195,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,1 block missing,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Complete,Complete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,1 block missing,Complete
M00579,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA -> acetate",Carbon,No direct iron relation assigned,K00625; K00925; K13788; K15024,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
M00378,F420 biosynthesis,Methane,No direct iron relation assigned,K11780; K11781; K12234; K14941,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Complete,Complete,Complete,Complete,1 block missing,Complete,Incomplete,Incomplete,1 block missing,Complete,1 block missing,Complete
M00021,"Cysteine biosynthesis, serine -> cysteine",Sulfur,No direct iron relation assigned,K01738,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,Complete,Complete
M00176,"Assimilatory sulfate reduction, sulfate -> H2S",Sulfur,No direct iron relation assigned,K00380; K00381; K00390; K00392; K00860; K00956; K00957; K00958,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,Complete,Complete,1 block missing,Complete,1 block missing,Complete,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Complete,Complete,Incomplete,1 block missing,1 block missing,1 block missing
